danceability,energy,valence,tempo,loudness,acousticness
0.853,0.599,0.843,119.993,-4.756,0.00334
0.584,0.931,0.6940000000000001,131.275,-6.158,0.00315
0.755,0.925,0.804,125.06,-3.977,0.0213
0.441,0.455,0.918,160.9,-14.207,0.62
0.867,0.5379999999999999,0.7809999999999999,158.328,-16.183,0.242
0.7040000000000001,0.867,0.809,131.467,-5.808,0.0846
0.78,0.575,0.273,81.502,-5.627999999999999,0.106
0.551,0.836,0.758,185.063,-3.838,0.00502
0.917,0.588,0.828,110.077,-11.047,0.195
0.579,0.5539999999999999,0.838,185.183,-7.08,0.0175
0.946,0.772,0.743,116.972,-7.537000000000001,0.0512
0.61,0.926,0.861,172.638,-4.843,0.031
0.627,0.7,0.856,175.33,-9.657,0.121
0.503,0.922,0.831,107.503,-3.716,0.00253
0.396,0.293,0.343,100.307,-14.062,0.941
0.6409999999999999,0.922,0.847,146.078,-4.457,0.0291
0.604,0.778,0.419,100.155,-5.686,0.007259999999999998
0.502,0.758,0.7290000000000001,112.499,-9.76,0.00915
0.772,0.826,0.871,119.995,-5.135,0.0176
0.545,0.578,0.8190000000000001,128.03799999999998,-8.745,0.0114
0.489,0.5770000000000001,0.519,78.112,-9.765,0.233
0.385,0.306,0.546,173.377,-12.167,0.452
0.473,0.602,0.897,146.514,-9.561,0.149
0.978,0.695,0.496,122.027,-5.746,0.00126
0.575,0.625,0.282,111.984,-5.296,0.00145
0.7340000000000001,0.862,0.971,118.653,-6.976,0.152
0.446,0.792,0.741,165.018,-7.449,0.71
0.649,0.718,0.8009999999999999,109.003,-4.8610000000000015,0.00273
0.664,0.664,0.738,129.933,-7.228,0.35100000000000003
0.5579999999999999,0.463,0.7909999999999999,176.685,-14.59,0.6940000000000001
0.495,0.91,0.742,189.803,-4.8889999999999985,0.0034
0.64,0.321,0.177,145.045,-14.604,0.693
0.5329999999999999,0.376,0.187,165.007,-11.913,0.0302
0.392,0.8390000000000001,0.232,168.00099999999995,-1.921,0.158
0.4270000000000001,0.465,0.458,112.137,-6.595,0.461
0.611,0.602,0.624,168.15400000000002,-4.89,0.000837
0.664,0.705,0.477,122.017,-4.972,0.0654
0.414,0.172,0.386,89.176,-13.849,0.969
0.454,0.913,0.521,137.688,-4.008,0.408
0.407,0.868,0.5660000000000001,146.687,-4.057,0.12
0.5589999999999999,0.562,0.428,132.062,-5.674,0.203
0.504,0.918,0.539,92.031,-3.463,0.00164
0.8190000000000001,0.6920000000000001,0.963,131.259,-11.747,0.0024
0.715,0.6890000000000001,0.852,111.504,-8.065,0.0143
0.953,0.428,0.723,131.737,-17.199,0.0079
0.544,0.897,0.647,157.17,-6.056,0.241
0.792,0.73,0.616,128.029,-5.376,0.0623
0.5479999999999999,0.768,0.8690000000000001,100.863,-7.891,0.051
0.7859999999999999,0.853,0.309,126.99,-8.274,0.0499
0.5770000000000001,0.654,0.13,111.993,-7.9,0.0143
0.6709999999999999,0.921,0.825,118.424,-3.878,0.0129
0.728,0.524,0.51,90.262,-8.227,0.563
0.778,0.8009999999999999,0.534,97.47,-4.65,0.345
0.62,0.81,0.7929999999999999,150.737,-6.5939999999999985,0.4320000000000001
0.464,0.797,0.547,129.964,-5.244,0.006
0.6609999999999999,0.833,0.636,124.068,-4.868,0.0714
0.441,0.8959999999999999,0.51,176.111,-4.923,0.000605
0.8059999999999999,0.608,0.8490000000000001,95.049,-7.007999999999999,0.0113
0.638,0.867,0.805,115.692,-6.4689999999999985,0.14400000000000002
0.877,0.637,0.569,119.988,-3.4930000000000003,0.0051600000000000005
0.449,0.608,0.498,149.872,-3.249,0.00105
0.608,0.812,0.268,173.99900000000005,-4.632,0.0068
0.611,0.948,0.79,133.004,-3.751,0.00183
0.563,0.865,0.601,156.27100000000004,-5.277,0.0472
0.6890000000000001,0.875,0.655,120.252,-3.307,0.00923
0.54,0.762,0.635,172.241,-6.5379999999999985,0.14
0.472,0.225,0.29,100.299,-12.581,0.8640000000000001
0.6779999999999999,0.35700000000000004,0.0661,113.301,-14.712,0.675
0.307,0.433,0.224,160.9,-10.057,0.388
0.5770000000000001,0.523,0.29,134.93,-5.5379999999999985,0.491
0.773,0.6629999999999999,0.324,115.002,-8.101,0.0557
0.568,0.7070000000000001,0.6629999999999999,171.968,-5.6720000000000015,0.0608
0.888,0.632,0.662,91.979,-3.872,0.19
0.417,0.484,0.501,149.785,-8.781,0.409
0.589,0.384,0.354,132.909,-15.075,0.112
0.59,0.828,0.636,111.353,-6.28,0.277
0.542,0.546,0.344,74.797,-9.927,0.597
0.6970000000000001,0.787,0.5720000000000001,98.066,-9.695,0.232
0.784,0.382,0.882,145.96,-11.09,0.614
0.343,0.7709999999999999,0.301,183.677,-4.371,0.0843
0.618,0.442,0.403,116.113,-13.154000000000002,0.624
0.6629999999999999,0.522,0.301,99.765,-8.741,0.392
0.521,0.464,0.263,85.486,-3.883,0.65
0.813,0.619,0.774,114.58,-8.203,0.245
0.73,0.487,0.731,114.965,-10.991,0.258
0.667,0.93,0.893,115.57,-4.585,0.0108
0.8170000000000001,0.599,0.5479999999999999,108.873,-9.249,0.132
0.674,0.517,0.482,94.98,-11.225,0.226
0.612,0.813,0.523,120.022,-5.341,0.301
0.8009999999999999,0.795,0.754,79.028,-5.115,0.0417
0.399,0.326,0.546,79.206,-9.239,0.8640000000000001
0.32,0.588,0.111,131.585,-5.49,0.34
0.513,0.831,0.963,148.83700000000005,-9.004,0.55
0.354,0.535,0.434,110.821,-8.876,0.627
0.564,0.7140000000000001,0.33,175.924,-4.987,0.0549
0.664,0.74,0.5760000000000001,93.988,-6.806,0.00197
0.537,0.759,0.377,127.973,-5.622000000000001,0.0267
0.5479999999999999,0.64,0.392,108.326,-6.285,0.21
0.94,0.425,0.499,128.989,-11.584,0.00021
0.5870000000000001,0.872,0.735,159.925,-5.066,0.018000000000000002
0.467,0.297,0.502,134.079,-12.349,0.789
0.653,0.519,0.8220000000000001,98.883,-10.164,0.406
0.28800000000000003,0.62,0.617,94.445,-10.103,0.24
0.773,0.867,0.5920000000000001,117.984,-4.595,0.145
0.672,0.82,0.438,120.005,-4.456,0.0368
0.602,0.493,0.505,101.941,-17.899,0.0934
0.353,0.898,0.525,103.293,-5.877000000000002,2.23e-05
0.674,0.6859999999999999,0.8140000000000001,124.204,-11.927,0.29
0.835,0.871,0.963,140.386,-13.353,0.457
0.677,0.852,0.93,91.691,-10.856,0.225
0.491,0.951,0.555,106.948,-3.775,2.3e-05
0.727,0.937,0.7490000000000001,132.067,-2.8710000000000004,0.00417
0.857,0.8009999999999999,0.753,96.009,-6.499,0.332
0.693,0.789,0.28300000000000003,117.055,-5.13,0.0168
0.921,0.529,0.7240000000000001,102.941,-11.974,0.0845
0.741,0.929,0.977,139.191,-6.962999999999999,0.19
0.674,0.932,0.728,101.033,-4.424,0.0282
0.797,0.863,0.769,124.891,-7.015,0.0332
0.542,0.4920000000000001,0.58,103.064,-11.927,0.467
0.883,0.631,0.782,118.084,-11.473,0.339
0.797,0.75,0.74,177.87,-9.369,0.5329999999999999
0.632,0.471,0.764,121.672,-7.887,0.313
0.39,0.6940000000000001,0.795,115.197,-11.783,0.00299
0.802,0.597,0.973,121.367,-8.021,0.00105
0.531,0.818,0.471,90.767,-5.358,0.0694
0.601,0.531,0.818,117.676,-13.784,0.475
0.7170000000000001,0.665,0.774,105.693,-9.503,0.0659
0.629,0.523,0.191,127.045,-10.079,0.0449
0.7509999999999999,0.897,0.482,119.97,-3.5980000000000003,0.00957
0.586,0.941,0.831,135.44799999999998,-5.1389999999999985,0.0167
0.521,0.487,0.483,117.072,-7.525,0.253
0.6,0.412,0.408,113.049,-9.343,0.615
0.419,0.152,0.239,80.608,-12.126,0.326
0.634,0.69,0.645,94.988,-7.8039999999999985,0.0771
0.8690000000000001,0.503,0.914,112.664,-12.804,0.0818
0.711,0.951,0.903,121.656,-8.406,0.00189
0.396,0.473,0.385,133.44899999999998,-7.67,0.326
0.487,0.369,0.106,183.114,-13.424,0.736
0.816,0.514,0.912,136.83700000000002,-8.741,0.767
0.971,0.4,0.652,119.953,-7.154,0.0833
0.523,0.621,0.35,106.961,-5.535,0.0751
0.655,0.8590000000000001,0.525,140.049,-4.277,0.328
0.688,0.745,0.688,128.556,-10.323,0.00285
0.617,0.0947,0.206,111.689,-14.73,0.947
0.636,0.836,0.715,139.95600000000002,-3.004,0.00609
0.575,0.765,0.407,98.037,-6.608,0.00703
0.458,0.151,0.373,153.595,-21.263,0.877
0.647,0.8220000000000001,0.962,160.019,-4.662,0.219
0.556,0.5720000000000001,0.964,128.888,-11.692,0.0272
0.584,0.3670000000000001,0.588,120.175,-9.638,0.55
0.765,0.523,0.394,104.988,-4.333,0.184
0.615,0.733,0.7959999999999999,122.58,-4.808,0.152
0.309,0.441,0.217,75.734,-6.524,0.409
0.457,0.667,0.6,179.85299999999995,-8.722999999999999,0.405
0.589,0.177,0.311,88.40899999999998,-14.890999999999998,0.977
0.6659999999999999,0.975,0.452,128.005,-3.47,0.0135
0.292,0.823,0.244,89.939,-6.763,0.0117
0.581,0.6509999999999999,0.146,151.959,-5.617000000000001,0.14300000000000002
0.49,0.758,0.435,112.114,-6.4910000000000005,0.000671
0.5589999999999999,0.631,0.929,173.172,-11.184,0.628
0.262,0.818,0.395,183.629,-5.5379999999999985,0.0218
0.642,0.823,0.431,122.977,-5.7170000000000005,0.00159
0.439,0.794,0.748,145.056,-11.792,0.159
0.715,0.769,0.8909999999999999,155.827,-5.24,0.023
0.428,0.608,0.92,188.643,-13.729,0.0144
0.542,0.589,0.13699999999999998,111.665,-6.622999999999998,0.292
0.956,0.745,0.912,107.075,-4.753,0.206
0.8909999999999999,0.628,0.552,134.966,-7.862999999999999,0.0025800000000000003
0.669,0.7170000000000001,0.6920000000000001,90.986,-5.47,0.071
0.647,0.71,0.268,110.059,-4.692,0.000973
0.705,0.735,0.448,132.627,-6.646,0.028
0.573,0.746,0.271,130.004,-4.921,0.171
0.392,0.6809999999999999,0.711,171.162,-8.722999999999999,0.408
0.442,0.846,0.622,128.235,-5.214,0.0538
0.5529999999999999,0.657,0.555,107.889,-8.219,0.335
0.478,0.624,0.579,138.708,-11.16,0.655
0.623,0.245,0.7609999999999999,110.455,-17.578,0.8440000000000001
0.277,0.0314,0.0495,131.571,-30.21,0.992
0.711,0.362,0.616,117.287,-10.851,0.272
0.705,0.918,0.546,92.511,-2.77,0.04
0.304,0.73,0.934,176.702,-7.212999999999999,0.0144
0.657,0.597,0.486,89.60600000000002,-9.919,0.12
0.816,0.726,0.65,136.048,-3.998,0.099
0.596,0.7,0.926,133.45,-4.9110000000000005,0.68
0.711,0.906,0.8240000000000001,125.916,-2.6710000000000003,0.00952
0.541,0.81,0.647,155.582,-11.745,0.000975
0.713,0.258,0.56,98.805,-14.59,0.877
0.48,0.145,0.124,112.622,-18.365,0.995
0.466,0.476,0.856,133.731,-9.289,0.7490000000000001
0.846,0.595,0.78,101.632,-8.372,0.0904
0.557,0.8590000000000001,0.6779999999999999,128.641,-8.842,0.159
0.5539999999999999,0.833,0.95,162.85399999999996,-7.562,0.128
0.645,0.931,0.8759999999999999,103.273,-6.041,0.0973
0.851,0.551,0.807,131.922,-5.1770000000000005,0.151
0.5920000000000001,0.458,0.723,133.55100000000002,-8.2,0.716
0.757,0.755,0.8420000000000001,109.035,-4.371,0.132
0.452,0.928,0.6,129.188,-3.133,0.0007059999999999999
0.59,0.868,0.7979999999999999,184.348,-5.832000000000002,0.0962
0.6829999999999999,0.7390000000000001,0.836,122.113,-12.831,4.91e-05
0.979,0.792,0.583,116.012,-2.784,0.0025
0.687,0.284,0.851,132.24200000000002,-13.452,0.7909999999999999
0.446,0.239,0.298,189.507,-13.945,0.551
0.612,0.585,0.799,149.2,-11.931,0.0137
0.628,0.931,0.14400000000000002,119.976,-9.973,0.0006889999999999999
0.332,0.7070000000000001,0.652,144.815,-12.698,1.2e-05
0.336,0.792,0.4270000000000001,155.58700000000005,-10.875,0.00351
0.474,0.6859999999999999,0.882,74.305,-7.624,0.268
0.483,0.979,0.393,91.022,-3.543,0.000112
0.7040000000000001,0.6779999999999999,0.977,125.185,-9.121,0.14300000000000002
0.813,0.4270000000000001,0.964,123.112,-11.543,0.5539999999999999
0.616,0.7609999999999999,0.708,145.07399999999996,-9.199,0.196
0.589,0.541,0.236,133.97,-10.087,0.122
0.8640000000000001,0.5489999999999999,0.718,105.045,-9.741,0.7809999999999999
0.58,0.981,0.861,134.007,-2.603,0.0171
0.56,0.743,0.463,168.196,-8.71,0.304
0.8540000000000001,0.71,0.818,106.894,-6.32,0.0113
0.374,0.746,0.222,78.089,-4.504,0.0008089999999999999
0.862,0.6629999999999999,0.8370000000000001,85.30799999999998,-9.004,0.12
0.7959999999999999,0.617,0.72,103.858,-6.198,0.00824
0.765,0.7659999999999999,0.923,128.17700000000002,-9.374,0.41
0.856,0.436,0.944,107.967,-15.419,0.735
0.579,0.958,0.409,100.058,-5.6770000000000005,0.0519
0.6759999999999999,0.386,0.6709999999999999,93.139,-16.148,0.0264
0.359,0.981,0.271,178.98,-3.622,0.00125
0.519,0.438,0.376,74.561,-11.58,0.618
0.584,0.5329999999999999,0.224,131.745,-7.11,0.684
0.6729999999999999,0.5820000000000001,0.921,111.72,-12.757,0.263
0.414,0.161,0.423,159.375,-22.32,0.883
0.539,0.58,0.787,97.329,-7.672999999999999,0.405
0.611,0.946,0.763,125.398,-5.357,0.00957
0.916,0.727,0.201,94.997,-6.556,0.00214
0.479,0.545,0.243,74.89699999999998,-7.346,0.365
0.5429999999999999,0.485,0.371,136.961,-6.85,0.5579999999999999
0.55,0.586,0.0925,129.996,-12.363,0.0261
0.395,0.174,0.13,102.763,-17.598,0.978
0.309,0.93,0.376,195.815,-6.399,0.0192
0.682,0.8190000000000001,0.662,129.43,-5.402,0.375
0.6829999999999999,0.7509999999999999,0.841,103.036,-10.184,0.0681
0.551,0.8390000000000001,0.6809999999999999,116.051,-4.555,0.0818
0.624,0.8420000000000001,0.257,111.037,-5.285,0.264
0.399,0.645,0.384,82.795,-5.356,0.112
0.617,0.82,0.736,104.038,-5.457000000000002,0.0013
